"Code";"Name";"Age groups";"Sex";"Value and precision";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"20-64";"total";"numerical data";"1995";64.3;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"1996";64.5;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"1997";65.0;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"1998";65.4;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"1999";62.6;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2000";61.0;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2001";59.2;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2002";57.1;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2003";56.9;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2004";57.1;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2005";58.0;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2006";60.1;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2007";62.7;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2008";65.0;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2009";64.9;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2010";64.3;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2011";64.5;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2012";64.7;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2013";64.9;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2014";66.5;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2015";67.8;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2016";69.3;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2017";70.9;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2018";72.2;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2019";73.0;"%";"";
0000000;"POLAND";"20-64";"total";"numerical data";"2020";73.6;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"1995";71.7;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"1996";72.1;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"1997";73.2;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"1998";73.2;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"1999";70.0;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2000";68.0;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2001";65.8;"%";"";
