"Code";"Name";"Rates";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"fertility";"2002";1.249;"-";"";
0000000;"POLAND";"fertility";"2003";1.222;"-";"";
0000000;"POLAND";"fertility";"2004";1.227;"-";"";
0000000;"POLAND";"fertility";"2005";1.243;"-";"";
0000000;"POLAND";"fertility";"2006";1.267;"-";"";
0000000;"POLAND";"fertility";"2007";1.306;"-";"";
0000000;"POLAND";"fertility";"2008";1.390;"-";"";
0000000;"POLAND";"fertility";"2009";1.398;"-";"";
0000000;"POLAND";"fertility";"2010";1.376;"-";"";
0000000;"POLAND";"fertility";"2011";1.297;"-";"";
0000000;"POLAND";"fertility";"2012";1.299;"-";"";
0000000;"POLAND";"fertility";"2013";1.256;"-";"";
0000000;"POLAND";"fertility";"2014";1.290;"-";"";
0000000;"POLAND";"fertility";"2015";1.289;"-";"";
0000000;"POLAND";"fertility";"2016";1.357;"-";"";
0000000;"POLAND";"fertility";"2017";1.453;"-";"";
0000000;"POLAND";"fertility";"2018";1.435;"-";"";
0000000;"POLAND";"fertility";"2019";1.419;"-";"";
0000000;"POLAND";"fertility";"2020";1.378;"-";"";
0000000;"POLAND";"gross reproduction";"2002";0.606;"-";"";
0000000;"POLAND";"gross reproduction";"2003";0.594;"-";"";
0000000;"POLAND";"gross reproduction";"2004";0.595;"-";"";
0000000;"POLAND";"gross reproduction";"2005";0.604;"-";"";
0000000;"POLAND";"gross reproduction";"2006";0.615;"-";"";
0000000;"POLAND";"gross reproduction";"2007";0.635;"-";"";
0000000;"POLAND";"gross reproduction";"2008";0.676;"-";"";
0000000;"POLAND";"gross reproduction";"2009";0.678;"-";"";
0000000;"POLAND";"gross reproduction";"2010";0.662;"-";"";
0000000;"POLAND";"gross reproduction";"2011";0.630;"-";"";
0000000;"POLAND";"gross reproduction";"2012";0.631;"-";"";
0000000;"POLAND";"gross reproduction";"2013";0.611;"-";"";
0000000;"POLAND";"gross reproduction";"2014";0.626;"-";"";
0000000;"POLAND";"gross reproduction";"2015";0.627;"-";"";
0000000;"POLAND";"gross reproduction";"2016";0.660;"-";"";
0000000;"POLAND";"gross reproduction";"2017";0.707;"-";"";
0000000;"POLAND";"gross reproduction";"2018";0.696;"-";"";
0000000;"POLAND";"gross reproduction";"2019";0.690;"-";"";
0000000;"POLAND";"gross reproduction";"2020";0.671;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2002";1.129;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2003";1.091;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2004";1.124;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2005";1.148;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2006";1.179;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2007";1.222;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2008";1.316;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2009";1.316;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2010";1.288;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2011";1.210;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2012";1.201;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2013";1.153;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2014";1.225;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2015";1.206;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2016";1.286;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2017";1.361;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2018";1.367;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2019";1.357;"-";"";
0200000;"DOLNOŚLĄSKIE";"fertility";"2020";1.333;"-";"";
