"Code";"Name";"Grand total";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"2002";5.0;"-";"";
0000000;"POLAND";"total";"2003";5.1;"-";"";
0000000;"POLAND";"total";"2004";5.0;"-";"";
0000000;"POLAND";"total";"2005";5.4;"-";"";
0000000;"POLAND";"total";"2006";5.9;"-";"";
0000000;"POLAND";"total";"2007";6.5;"-";"";
0000000;"POLAND";"total";"2008";6.8;"-";"";
0000000;"POLAND";"total";"2009";6.6;"-";"";
0000000;"POLAND";"total";"2010";5.9;"-";"";
0000000;"POLAND";"total";"2011";5.4;"-";"";
0000000;"POLAND";"total";"2012";5.3;"-";"";
0000000;"POLAND";"total";"2013";4.7;"-";"";
0000000;"POLAND";"total";"2014";4.9;"-";"";
0000000;"POLAND";"total";"2015";4.9;"-";"";
0000000;"POLAND";"total";"2016";5.0;"-";"";
0000000;"POLAND";"total";"2017";5.0;"-";"";
0000000;"POLAND";"total";"2018";5.0;"-";"";
0000000;"POLAND";"total";"2019";4.8;"-";"";
0000000;"POLAND";"total";"2020";3.8;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2002";4.7;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2003";4.8;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2004";4.7;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2005";5.2;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2006";5.7;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2007";6.5;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2008";6.6;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2009";6.3;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2010";5.6;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2011";5.2;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2012";5.2;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2013";4.4;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2014";4.7;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2015";4.5;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2016";4.8;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2017";4.8;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2018";4.9;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2019";4.8;"-";"";
0200000;"DOLNOŚLĄSKIE";"total";"2020";3.7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2002";5.1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2003";5.1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2004";5.0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2005";5.6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2006";6.2;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2007";6.8;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2008";7.1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2009";6.8;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2010";5.9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2011";5.4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2012";5.3;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2013";4.7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2014";4.9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2015";5.0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2016";5.0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2017";4.9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2018";5.0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2019";4.6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"total";"2020";3.7;"-";"";
0600000;"LUBELSKIE";"total";"2002";5.4;"-";"";
0600000;"LUBELSKIE";"total";"2003";5.4;"-";"";
0600000;"LUBELSKIE";"total";"2004";5.4;"-";"";
0600000;"LUBELSKIE";"total";"2005";5.9;"-";"";
0600000;"LUBELSKIE";"total";"2006";6.2;"-";"";
0600000;"LUBELSKIE";"total";"2007";6.8;"-";"";
0600000;"LUBELSKIE";"total";"2008";6.8;"-";"";
0600000;"LUBELSKIE";"total";"2009";6.7;"-";"";
0600000;"LUBELSKIE";"total";"2010";6.1;"-";"";
0600000;"LUBELSKIE";"total";"2011";5.6;"-";"";
0600000;"LUBELSKIE";"total";"2012";5.4;"-";"";
0600000;"LUBELSKIE";"total";"2013";4.8;"-";"";
0600000;"LUBELSKIE";"total";"2014";5.1;"-";"";
0600000;"LUBELSKIE";"total";"2015";5.0;"-";"";
0600000;"LUBELSKIE";"total";"2016";5.0;"-";"";
0600000;"LUBELSKIE";"total";"2017";5.0;"-";"";
0600000;"LUBELSKIE";"total";"2018";5.0;"-";"";
0600000;"LUBELSKIE";"total";"2019";4.7;"-";"";
0600000;"LUBELSKIE";"total";"2020";3.7;"-";"";
0800000;"LUBUSKIE";"total";"2002";4.4;"-";"";
0800000;"LUBUSKIE";"total";"2003";4.5;"-";"";
0800000;"LUBUSKIE";"total";"2004";4.4;"-";"";
0800000;"LUBUSKIE";"total";"2005";4.9;"-";"";
0800000;"LUBUSKIE";"total";"2006";5.8;"-";"";
0800000;"LUBUSKIE";"total";"2007";6.6;"-";"";
0800000;"LUBUSKIE";"total";"2008";6.9;"-";"";
0800000;"LUBUSKIE";"total";"2009";6.5;"-";"";
0800000;"LUBUSKIE";"total";"2010";5.8;"-";"";
0800000;"LUBUSKIE";"total";"2011";5.1;"-";"";
0800000;"LUBUSKIE";"total";"2012";5.3;"-";"";
0800000;"LUBUSKIE";"total";"2013";4.6;"-";"";
0800000;"LUBUSKIE";"total";"2014";4.8;"-";"";
0800000;"LUBUSKIE";"total";"2015";4.9;"-";"";
0800000;"LUBUSKIE";"total";"2016";5.0;"-";"";
0800000;"LUBUSKIE";"total";"2017";4.9;"-";"";
0800000;"LUBUSKIE";"total";"2018";4.9;"-";"";
0800000;"LUBUSKIE";"total";"2019";4.5;"-";"";
0800000;"LUBUSKIE";"total";"2020";3.5;"-";"";
1000000;"ŁÓDZKIE";"total";"2002";4.9;"-";"";
1000000;"ŁÓDZKIE";"total";"2003";5.1;"-";"";
1000000;"ŁÓDZKIE";"total";"2004";5.0;"-";"";
1000000;"ŁÓDZKIE";"total";"2005";5.2;"-";"";
1000000;"ŁÓDZKIE";"total";"2006";5.6;"-";"";
1000000;"ŁÓDZKIE";"total";"2007";6.0;"-";"";
1000000;"ŁÓDZKIE";"total";"2008";6.4;"-";"";
1000000;"ŁÓDZKIE";"total";"2009";6.2;"-";"";
1000000;"ŁÓDZKIE";"total";"2010";5.7;"-";"";
1000000;"ŁÓDZKIE";"total";"2011";5.0;"-";"";
1000000;"ŁÓDZKIE";"total";"2012";5.0;"-";"";
1000000;"ŁÓDZKIE";"total";"2013";4.3;"-";"";
1000000;"ŁÓDZKIE";"total";"2014";4.5;"-";"";
