"Code";"Name";"Specification";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"2002";2239.56;"zl";"";
0000000;"POLAND";"total";"2003";2314.66;"zl";"";
0000000;"POLAND";"total";"2004";2409.69;"zl";"";
0000000;"POLAND";"total";"2005";2506.93;"zl";"";
0000000;"POLAND";"total";"2006";2636.81;"zl";"";
0000000;"POLAND";"total";"2007";2866.04;"zl";"";
0000000;"POLAND";"total";"2008";3158.48;"zl";"";
0000000;"POLAND";"total";"2009";3315.38;"zl";"";
0000000;"POLAND";"total";"2010";3435.00;"zl";"";
0000000;"POLAND";"total";"2011";3625.21;"zl";"";
0000000;"POLAND";"total";"2012";3744.38;"zl";"";
0000000;"POLAND";"total";"2013";3877.43;"zl";"";
0000000;"POLAND";"total";"2014";4003.99;"zl";"";
0000000;"POLAND";"total";"2015";4150.86;"zl";"";
0000000;"POLAND";"total";"2016";4290.52;"zl";"";
0000000;"POLAND";"total";"2017";4527.89;"zl";"";
0000000;"POLAND";"total";"2018";4834.76;"zl";"";
0000000;"POLAND";"total";"2019";5181.63;"zl";"";
0000000;"POLAND";"total";"2020";5523.32;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2002";2165.84;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2003";2233.58;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2004";2356.89;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2005";2477.56;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2006";2617.16;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2007";2860.66;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2008";3135.83;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2009";3295.44;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2010";3412.37;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2011";3587.25;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2012";3709.32;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2013";3868.86;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2014";4042.86;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2015";4204.24;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2016";4385.84;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2017";4654.51;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2018";4942.39;"zl";"";
0200000;"DOLNOŚLĄSKIE";"total";"2019";5323.55;"zl";"";
